tauZ,Sint_over_S0,step
4,-0.00130988,1200
3.95,-0.00130988,1200
3.9,-0.00130989,1200
3.85,-0.00130989,1200
3.8,-0.00130989,1200
3.75,-0.00130989,1200
3.7,-0.00130989,1200
3.65,-0.0013099,1200
3.6,-0.0013099,1200
3.55,-0.00130991,1200
3.5,-0.00130992,1200
3.45,-0.00130993,1200
3.4,-0.00130995,1200
3.35,-0.00130997,1200
3.3,-0.00131,1200
3.25,-0.00131004,1200
3.2,-0.00131009,1200
3.15,-0.00131015,1200
3.1,-0.00131024,1200
3.05,-0.00131036,1200
3,-0.00131051,1200
2.95,-0.00131072,1200
2.9,-0.00131098,1200
2.85,-0.00131134,1200
2.8,-0.00131181,1200
2.75,-0.00131243,1200
2.7,-0.00131325,1200
2.65,-0.00131433,1200
2.6,-0.00131576,1200
2.55,-0.00131766,1200
2.49999,-0.00132016,1200
2.44999,-0.00132347,1200
2.39999,-0.00132784,1200
2.34999,-0.00133363,1200
2.29998,-0.00134127,1200
2.24997,-0.00135138,1200
2.19997,-0.00136475,1200
2.14995,-0.00138242,1200
2.09994,-0.00140578,1200
2.04992,-0.00143668,1200
1.99989,-0.00147754,1200
1.94986,-0.00153158,1200
1.89981,-0.00160307,1200
1.84975,-0.00169767,1200
1.79967,-0.00182286,1200
1.74957,-0.0019886,1200
1.69943,-0.00220813,1200
1.64925,-0.00249905,1200
1.599,-0.00288486,1200
1.54868,-0.00339698,1200
1.49825,-0.00407755,1200
1.44769,-0.00498332,1200
1.39693,-0.00619105,1200
1.34594,-0.00780526,1200
1.29461,-0.0099692,1200
1.24285,-0.0128809,1200
1.19051,-0.0168171,1200
1.13738,-0.0221687,1200
1.0832,-0.0294948,1200
1.02758,-0.0396065,1200
0.969993,-0.053695,1200
0.909684,-0.0735287,1200
0.845553,-0.101746,1200
0.775956,-0.142265,1200
0.698276,-0.200765,1200
0.60639,-0.285019,1200
0.493053,-0.404442,1200
0.326752,-0.56764,1200
