tauIA,Sint_over_S0
0.05,-1.95733
0.075,-1.90875
0.1,-1.84603
0.125,-1.772
0.15,-1.68925
0.175,-1.60016
0.2,-1.50686
0.225,-1.41124
0.25,-1.31494
0.275,-1.21936
0.3,-1.12567
0.325,-1.03482
0.35,-0.947562
0.375,-0.864458
0.4,-0.785912
0.425,-0.712184
0.45,-0.643411
0.475,-0.579626
0.5,-0.520777
0.525,-0.466743
0.55,-0.417349
0.575,-0.372381
0.6,-0.331597
0.625,-0.294736
0.65,-0.261528
0.675,-0.231699
0.7,-0.204979
0.725,-0.181104
0.75,-0.159821
0.775,-0.140889
0.8,-0.124082
0.825,-0.109189
0.85,-0.0960134
0.875,-0.0843754
0.9,-0.07411
0.925,-0.0650672
0.95,-0.0571106
0.975,-0.0501174
1,-0.0439772
1.025,-0.0385906
1.05,-0.0338692
1.075,-0.0297339
1.1,-0.0261143
1.125,-0.0229483
1.15,-0.0201804
1.175,-0.017762
1.2,-0.0156497
1.225,-0.0138058
1.25,-0.0121966
1.275,-0.0107928
1.3,-0.00956852
1.325,-0.00850115
1.35,-0.00757079
1.375,-0.00676004
1.4,-0.00605367
1.425,-0.00543836
1.45,-0.00490245
1.475,-0.00443576
1.5,-0.00402942
1.525,-0.00367565
1.55,-0.0033677
1.575,-0.00309964
1.6,-0.00286634
1.625,-0.0026633
1.65,-0.00248661
1.675,-0.00233286
1.7,-0.00219907
1.725,-0.00208267
1.75,-0.0019814
1.775,-0.00189328
1.8,-0.00181663
1.825,-0.00174994
1.85,-0.00169193
1.875,-0.00164146
1.9,-0.00159756
1.925,-0.00155937
1.95,-0.00152615
1.975,-0.00149726
2,-0.00147213
2.025,-0.00145026
2.05,-0.00143125
2.075,-0.00141471
2.1,-0.00140032
2.125,-0.00138781
2.15,-0.00137692
2.175,-0.00136746
2.2,-0.00135922
2.225,-0.00135206
2.25,-0.00134583
2.275,-0.00134041
2.3,-0.0013357
2.325,-0.0013316
2.35,-0.00132804
2.375,-0.00132494
2.4,-0.00132224
2.425,-0.00131989
2.45,-0.00131785
2.475,-0.00131608
2.5,-0.00131454
2.525,-0.00131319
2.55,-0.00131203
2.575,-0.00131101
2.6,-0.00131013
2.625,-0.00130936
2.65,-0.00130869
2.675,-0.00130811
2.7,-0.00130761
2.725,-0.00130717
2.75,-0.00130678
2.775,-0.00130645
2.8,-0.00130616
2.825,-0.00130591
2.85,-0.00130569
2.875,-0.0013055
2.9,-0.00130534
2.925,-0.00130519
2.95,-0.00130507
2.975,-0.00130496
3,-0.00130486
3.025,-0.00130478
3.05,-0.00130471
3.075,-0.00130465
3.1,-0.00130459
3.125,-0.00130455
3.15,-0.00130451
3.175,-0.00130447
3.2,-0.00130444
3.225,-0.00130441
3.25,-0.00130439
3.275,-0.00130437
3.3,-0.00130435
3.325,-0.00130434
3.35,-0.00130432
3.375,-0.00130431
3.4,-0.0013043
3.425,-0.00130429
3.45,-0.00130428
3.475,-0.00130428
3.5,-0.00130427
3.525,-0.00130427
3.55,-0.00130426
3.575,-0.00130426
3.6,-0.00130425
3.625,-0.00130425
3.65,-0.00130425
3.675,-0.00130425
3.7,-0.00130425
3.725,-0.00130424
3.75,-0.00130424
3.775,-0.00130424
3.8,-0.00130424
3.825,-0.00130424
3.85,-0.00130424
3.875,-0.00130424
3.9,-0.00130424
3.925,-0.00130424
3.95,-0.00130424
3.975,-0.00130424
4,-0.00130423
4.025,-0.00130423
4.05,-0.00130423
4.075,-0.00130423
4.1,-0.00130423
4.125,-0.00130423
4.15,-0.00130423
4.175,-0.00130423
4.2,-0.00130423
4.225,-0.00130423
4.25,-0.00130423
4.275,-0.00130423
4.3,-0.00130423
4.325,-0.00130423
4.35,-0.00130423
4.375,-0.00130423
4.4,-0.00130423
4.425,-0.00130423
4.45,-0.00130423
4.475,-0.00130423
4.5,-0.00130423
