beta,T,N_beta,F_harm,F_mean,F_err,I_fine_mean,I_coarse_mean,delta_logZ_mean
40,0.025,800,2.8,2.24332,0.0136352,-22.1703,-20.7177,-22.2672
20,0.05,400,2.8,2.21986,0.00682827,-11.5444,-10.6688,-11.6027
10,0.1,200,2.8,2.22186,0.026791,-5.73355,-5.01591,-5.78139
8,0.125,160,2.8,2.267,0.0268175,-4.25223,-4.07601,-4.26398
6,0.166667,120,2.8,2.22963,0.0447905,-3.43299,-3.59493,-3.42219
5,0.2,100,2.8,2.22171,0.0590783,-2.88961,-2.8622,-2.89143
4,0.25,80,2.8,2.30347,0.0325255,-2.01542,-2.45488,-1.98612
3,0.333333,60,2.8,2.14642,0.0346411,-1.94971,-1.78424,-1.96074
2.5,0.4,50,2.8,2.08505,0.0525843,-1.79087,-1.84316,-1.78738
2,0.5,40,2.79999,2.14769,0.0317091,-1.30983,-1.3881,-1.30461
1.5,0.666667,30,2.79985,1.9667,0.0617764,-1.24864,-1.23237,-1.24973
1,1,20,2.7963,1.7338,0.0331159,-1.05735,-0.980189,-1.06249
